date,high,low,close,open,impact,trades,shares
2016-02-15,57,52,58.1,58.1,0,6,61
2016-02-16,57,57,58.1,58.1,0,2,7
2016-02-17,57,56,57,58.1,-1.89,4,646
2016-02-18,55,55,57,57,0,1,1
2016-02-23,57,57,57,57,0,1,100
2016-02-24,57,57,57,57,0,2,701
2016-02-25,59.8,59.8,57,57,0,1,5
2016-02-26,57,56,57,57,0,2,204
2016-02-29,51.5,51.5,57,57,0,1,2
2016-03-01,53.1,53.1,53.1,57,-6.84,3,500
2016-03-02,53,53,53,53.1,-0.19,1,500
2016-03-03,51.2,51,51.1,53,-3.58,3,100
2016-03-11,57.9,57.9,51.1,51.1,0,2,17
2016-03-14,59,59,51.1,51.1,0,1,1
2016-03-16,60,59,60,51.1,17.42,5,2136
2016-03-17,60,60,60,60,0,1,1000
2016-03-21,60,58,60,60,0,4,3073
2016-03-24,60,60,60,60,0,1,900
2016-03-28,60,58,59.5,60,-0.83,10,1575
2016-04-06,55.1,55,59.5,59.5,0,2,5
2016-04-07,65,65,59.5,59.5,0,2,34
2016-04-11,67,67,59.5,59.5,0,1,3
2016-04-15,66,66,59.5,59.5,0,1,12
2016-04-19,68,68,59.5,59.5,0,2,20
2016-04-22,64.9,64.9,59.5,59.5,0,1,40
2016-04-25,64,63,64,59.5,7.56,3,410
2016-04-26,65,65,65,64,1.56,2,3700
2016-05-05,63.3,63.3,63.3,65,-2.62,7,10200
2016-05-06,63.3,62,62,63.3,-2.05,13,20220
2016-05-09,62.2,62,62,62,0,2,2182
2016-05-10,67.1,65,66.8,62,7.74,7,6308
2016-05-13,66.9,62.2,66.8,66.8,0,2,30
2016-05-16,66.3,65,66.3,66.8,-0.75,4,1035
2016-05-17,65,65,65,66.3,-1.96,2,105
2016-05-18,66.9,65,65,65,0,4,357
2016-05-19,65.4,65,65,65,0,7,5134
2016-05-20,65,64,65,65,0,2,505
2016-05-24,64,64,64,65,-1.54,4,174
2016-05-25,66,66,64,64,0,2,51
2016-05-26,64.1,64,64,64,0,2,249
2016-05-30,64.1,64,64.1,64,0.16,7,8102
2016-06-01,65.9,65.5,65.5,64.1,2.18,2,201
2016-06-03,67.5,65.9,65.5,65.5,0,2,2
2016-06-06,65,63.6,63.7,65.5,-2.75,3,1505
2016-06-09,63.6,63.6,63.7,63.7,0,1,5
2016-06-13,65,63.5,63.6,63.7,-0.16,8,1052
2016-06-14,65,64,64,63.6,0.63,2,105
2016-06-15,64.5,64.5,64,64,0,2,10
2016-06-16,63.5,63.5,63.5,64,-0.78,2,3340
2016-06-20,63.6,63.6,63.6,63.5,0.16,2,4945
2016-06-21,63.5,63.5,63.5,63.6,-0.16,1,179
2016-06-22,63.5,63.2,63.5,63.5,0,3,2503
2016-06-24,64,64,63.5,63.5,0,1,1
2016-06-27,63.3,63.2,63.2,63.5,-0.47,8,3935
