date,high,low,close,open,trades,shares,turnover,
2015-03-09,31.2,31.2,31.2,33,1,200,"6,240.00",
2015-03-10,32.7,31.2,32.7,31.2,3,"1,034","33,260.80",
2015-03-11,32.8,32.7,32.8,32.7,4,13,425.4,
2015-03-17,32.4,30.5,32.4,32.8,4,431,"13,619.10",
2015-03-19,31.9,30.7,31.9,32.4,5,280,"8,726.50",
2015-03-20,32,32,32,31.9,1,1,32,
2015-03-23,30.7,30.7,30.7,32,2,128,"3,929.60",
2015-03-25,30.1,30.1,30.1,30.7,2,200,"6,020.00",
2015-03-26,32,31.9,32,30.1,3,800,"25,599.80",
2015-03-27,32,30.2,32,32,3,117,"3,713.40",
2015-03-30,32,30.2,31.8,32,8,"1,846","58,703.60",
2015-04-01,34.7,32,32.3,31.8,5,"1,700","54,991.50",
2015-04-02,34.3,34.3,34.3,32.3,2,191,"6,551.30",
2015-04-09,34,34,34,34.3,1,1,34,
2015-04-15,33.9,30.9,33.9,34,2,146,"4,943.40",
2015-04-16,34.5,34,34.1,33.9,3,100,"3,408.50",
2015-04-17,34.4,34.4,34.4,34.1,1,100,"3,440.00",
2015-04-22,34,30,31.6,34.4,13,620,"18,909.70",
2015-04-24,31.7,31.7,31.7,31.6,4,114,"3,613.80",
2015-04-29,34,31,33.8,31.7,9,403,"13,466.10",
2015-04-30,35.3,35.3,35.3,33.8,1,100,"3,530.00",
