date,high,low,closing,open,trades,shares,turnover
2016-03-11,57.9,57.9,51.1,51.1,2,17,984.3
2016-03-14,59,59,51.1,51.1,1,1,59
2016-03-16,60,59,60,51.1,5,"2,136","127,140.10"
2016-03-17,60,60,60,60,1,"1,000","60,000.00"
2016-03-21,60,58,60,60,4,"3,073","184,371.40"
2016-03-24,60,60,60,60,1,900,"54,000.00"
2016-03-28,60,58,59.5,60,10,"1,575","93,362.50"
2016-04-06,55.1,55,59.5,59.5,2,5,275.2
2016-04-07,65,65,59.5,59.5,2,34,"2,210.00"
2016-04-11,67,67,59.5,59.5,1,3,201
2016-04-15,66,66,59.5,59.5,1,12,792
2016-04-19,68,68,59.5,59.5,2,20,"1,360.00"
2016-04-22,64.9,64.9,59.5,59.5,1,40,"2,596.00"
2016-04-25,64,63,64,59.5,3,410,"26,238.00"
2016-04-26,65,65,65,64,2,"3,700","240,500.00"
2016-05-05,63.3,63.3,63.3,65,7,"10,200","645,660.00"
2016-05-06,63.3,62,62,63.3,13,"20,220","1,265,904.00"
2016-05-09,62.2,62,62,62,2,"2,182","135,304.00"
2016-05-10,67.1,65,66.8,62,7,"6,308","412,419.10"
2016-05-13,66.9,62.2,66.8,66.8,2,30,"1,870.70"
2016-05-16,66.3,65,66.3,66.8,4,"1,035","68,591.90"
2016-05-17,65,65,65,66.3,2,105,"6,825.00"
2016-05-18,66.9,65,65,65,4,357,"23,206.90"
2016-05-19,65.4,65,65,65,7,"5,134","333,789.00"
2016-05-20,65,64,65,65,2,505,"32,824.00"
2016-05-24,64,64,64,65,4,174,"11,136.00"
2016-05-25,66,66,64,64,2,51,"3,366.00"
2016-05-26,64.1,64,64,64,2,249,"15,946.00"
2016-05-30,64.1,64,64.1,64,7,"8,102","518,838.20"
2016-06-01,65.9,65.5,65.5,64.1,2,201,"13,165.90"
2016-06-03,67.5,65.9,65.5,65.5,2,2,133.4
2016-06-06,65,63.6,63.7,65.5,3,"1,505","95,865.00"
2016-06-09,63.6,63.6,63.7,63.7,1,5,318
2016-06-13,65,63.5,63.6,63.7,8,"1,052","66,886.50"
2016-06-14,65,64,64,63.6,2,105,"6,725.00"
2016-06-15,64.5,64.5,64,64,2,10,645
2016-06-16,63.5,63.5,63.5,64,2,"3,340","212,090.00"
2016-06-20,63.6,63.6,63.6,63.5,2,"4,945","314,502.00"
2016-06-21,63.5,63.5,63.5,63.6,1,179,"11,366.50"
2016-06-22,63.5,63.2,63.5,63.5,3,"2,503","158,789.60"
2016-06-24,64,64,63.5,63.5,1,1,64
2016-06-27,63.3,63.2,63.2,63.5,8,"3,935","248,702.00"
2016-06-28,63.1,63.1,63.2,63.2,2,66,"4,164.60"
2016-07-04,63.2,63.2,63.2,63.2,3,"1,700","107,440.00"
2016-07-11,67.5,67.5,67.5,63.2,5,300,"20,250.00"
2016-07-13,70.4,67.8,70.4,67.5,34,"8,481","592,469.40"
2016-07-15,73.3,70,70.4,70.4,3,16,"1,123.30"
2016-07-18,73,72.8,72.9,70.4,3,230,"16,764.00"
2016-07-20,73.5,70,73.5,72.9,7,518,"38,064.40"
2016-07-21,73.9,70,73.6,73.5,20,"1,113","81,948.10"
2016-07-22,73.9,72,73.3,73.6,22,"2,680","196,245.60"
2016-07-25,74.9,73.8,74.3,73.3,13,650,"48,103.10"
2016-07-26,74.9,74.8,74.9,74.3,5,400,"29,956.50"
2016-07-27,74.9,70,70.8,74.9,10,"2,500","177,809.20"
2016-07-28,74.8,74.7,74.7,70.8,5,300,"22,429.70"
2016-07-29,74.8,74.8,74.8,74.7,1,100,"7,480.00"
2016-08-01,74.9,73,74.4,74.8,15,941,"70,280.30"
2016-08-02,75.8,74.9,74.9,74.4,12,"1,195","89,523.50"
2016-08-03,78,74.6,77,74.9,10,802,"61,624.80"
2016-08-04,77,74.6,75.4,77,2,300,"22,620.00"
2016-08-09,76.9,72,76.6,75.4,5,107,"8,193.00"
2016-08-10,76.9,76.8,76.9,76.6,10,300,"23,058.60"
2016-08-12,72,72,72,76.9,3,171,"12,312.00"
2016-08-15,75.4,72,75,72,5,"1,255","94,097.10"
2016-08-16,77,75,75.8,75,21,"3,877","292,190.50"
2016-08-18,72,72,75.8,75.8,1,10,720
2016-08-22,72,72,72,75.8,1,239,"17,208.00"
2016-08-23,78.9,72.1,75.8,72,9,"1,957","146,494.30"
2016-08-24,79,72.5,72.5,75.8,5,205,"14,896.20"
2016-08-25,79,75,77.4,72.5,6,500,"38,689.20"
2016-09-01,77,77,77.4,77.4,1,5,385
2016-09-05,74,72.8,72.9,77.4,8,803,"58,544.60"
2016-09-06,74,74,74,72.9,1,200,"14,800.00"
2016-09-07,72.5,72.5,72.5,74,4,430,"31,175.00"
2016-09-19,72.6,72.6,72.6,72.5,1,214,"15,536.40"
2016-09-20,72.6,72.6,72.6,72.6,2,227,"16,480.20"
2016-09-21,72.6,72.6,72.6,72.6,1,200,"14,520.00"
2016-09-23,74.9,72,72.8,72.6,7,"1,685","122,593.80"
2016-09-26,74.9,70.1,74.9,72.8,9,"1,316","95,968.80"
2016-09-27,74.9,74.9,74.9,74.9,1,1,74.9
2016-09-29,73,73,74.9,74.9,1,1,73
2016-10-03,74.8,74.8,74.9,74.9,3,3,224.4
2016-10-05,74.9,74.8,74.9,74.9,6,28,"2,096.30"
2016-10-07,74.9,74.9,74.9,74.9,1,2,149.8
2016-10-10,74.9,74.9,74.9,74.9,2,5,374.5
2016-10-11,73,73,74.9,74.9,1,60,"4,380.00"
2016-10-12,73,70,72.6,74.9,4,"1,166","84,631.00"
2016-10-13,70.1,70.1,72.6,72.6,1,1,70.1
2016-10-14,73,70,71.8,72.6,8,339,"24,342.20"
2016-10-17,73,70,72.6,71.8,6,229,"16,631.00"
2016-10-18,70,70,70,72.6,5,663,"46,410.00"
2016-10-19,72.9,72.9,72.9,70,2,310,"22,599.00"
2016-10-20,75,70.1,74.9,72.9,11,"15,005","1,124,375.70"
2016-10-27,70.2,70.2,74.9,74.9,1,2,140.4
2016-11-01,71,70.5,70.5,74.9,7,"1,500","105,850.00"
2016-11-02,70.1,70,70,70.5,2,"2,068","144,760.30"
2016-11-04,70,70,70,70,3,"1,910","133,700.00"
2016-11-10,73.4,70.5,70,70,3,5,364.1
2016-11-11,75,73.5,74.9,70,7,"2,040","151,979.60"
2016-11-17,72,72,72,74.9,5,612,"44,064.00"
2016-11-18,71.8,71.7,71.8,72,2,700,"50,210.00"
2016-11-21,71.7,71.7,71.7,71.8,1,390,"27,963.00"
2016-11-24,74.6,71.7,74.6,71.7,7,"4,203","313,253.80"
2016-11-29,74.4,74.4,74.4,74.6,1,"4,000","297,600.00"
2016-12-01,74.9,74.6,74.8,74.4,5,260,"19,459.20"
2016-12-02,70,70,70,74.8,2,200,"14,000.00"
2016-12-05,70.4,70.4,70,70,1,50,"3,520.00"
2016-12-06,72.5,72.5,70,70,1,10,725
2016-12-08,71.2,70.3,71.2,70,3,"10,403","731,591.90"
2016-12-15,70.1,70.1,71.2,71.2,1,2,140.2
2016-12-21,65.1,65,65.1,71.2,2,209,"13,602.30"
2016-12-28,73.9,73.9,73.9,65.1,2,300,"22,170.00"
2016-12-29,70,70,70,73.9,3,979,"68,530.00"
2016-12-30,73.7,73.7,73.7,70,1,100,"7,370.00"
2017-01-02,73,71,73,73.7,3,"1,900","138,500.00"
2017-01-05,74.9,72.9,74.9,73,12,"3,232","239,489.90"
2017-01-06,75.9,75,75.9,74.9,4,800,"60,540.00"
2017-01-11,76,72.2,75.9,75.9,9,"14,300","1,085,330.00"
2017-01-13,78,77,78,75.9,10,"30,161","2,352,507.40"
2017-01-17,78.3,72.7,77.7,78,7,"11,716","909,965.20"
2017-01-25,77,72.7,77,77.7,3,653,"50,260.90"
2017-01-26,73.2,73.2,77,77,1,1,73.2
2017-01-27,78,76.9,77.2,77,17,"2,029","156,316.60"
2017-01-30,80,78,80,77.2,17,"9,808","783,618.80"
2017-01-31,78.5,77,80,80,2,50,"3,880.00"
2017-02-01,80,78,80,80,5,"52,382","4,187,979.60"
2017-02-02,80,79,79.9,80,4,"1,300","103,900.00"
2017-02-03,81,79,79.4,79.9,5,"1,300","103,950.00"
2017-02-06,84.9,79,79.1,79.4,13,"4,723","375,651.00"
2017-02-09,83.9,79.9,80.5,79.1,5,700,"56,350.00"
2017-02-13,83.9,75.4,80.5,80.5,4,4,318.6
2017-02-14,83,75.6,76.2,80.5,9,450,"35,147.40"
2017-02-15,85,81.7,85,76.2,46,"26,061","2,207,568.60"
2017-02-16,87,75.9,86.1,85,11,800,"67,885.80"
2017-02-17,86.9,83,86.1,86.1,7,77,"6,614.10"
2017-02-20,79,78.9,79,86.1,3,107,"8,452.30"
2017-02-21,86.9,85.9,86,79,16,"1,261","108,893.70"
2017-02-22,86.5,86.5,86,86,3,10,865
2017-02-23,86.4,86.3,86.4,86,6,107,"9,239.50"
2017-02-27,84,84,86.4,86.4,2,70,"5,880.00"
2017-02-28,83,83,86.4,86.4,2,2,166
2017-03-03,82.5,82.5,86.4,86.4,2,3,247.5
2017-03-06,82.3,82.3,86.4,86.4,1,1,82.3
2017-03-07,82.2,82.2,86.4,86.4,1,5,411
2017-03-09,81.5,77.1,77.2,86.4,11,901,"69,538.40"
2017-03-14,84.7,84.7,77.2,77.2,1,2,169.4
2017-03-17,83.9,82,83,77.2,14,887,"74,126.60"
2017-03-20,83,82.9,83,83,4,71,"5,892.80"
2017-03-21,84.9,82.9,83.1,83,13,101,"8,393.20"
2017-03-22,84,82.9,83,83.1,4,501,"41,544.60"
2017-03-23,84,83.9,83,83,3,10,839.6
2017-03-24,83,82.5,82.5,83,11,"1,611","133,010.10"
2017-03-27,75.9,71.3,75.3,82.5,7,356,"26,222.80"
